,Eads pred (eV),Elements
681,-3.2772319316864014,Ru_Rh
682,-2.7379207611083984,Ru_Rh
683,-3.071417808532715,Ru_Rh
684,-3.033456563949585,Ru_Rh
685,-3.885599374771118,Ru_Rh
686,-2.924306631088257,Ru_Rh
687,-3.358555555343628,Ru_Rh
688,-2.376725196838379,Ru_Rh
689,-3.5847725868225098,Ru_Rh
690,-3.4717373847961426,Ru_Rh
691,-2.529611587524414,Ru_Rh
692,-3.303884983062744,Ru_Rh
693,-3.6049623489379883,Ru_Rh
694,-2.606558322906494,Ru_Rh
695,-2.2339863777160645,Ru_Rh
696,-3.6960525512695312,Ru_Rh
697,-3.9755001068115234,Ru_Rh
698,-3.2732954025268555,Ru_Rh
699,-3.086803913116455,Ru_Rh
700,-4.46308708190918,Ru_Rh
701,-3.0162086486816406,Ru_Rh
702,-3.3983445167541504,Ru_Rh
703,-3.868907928466797,Ru_Rh
704,-3.6626839637756348,Ru_Rh
705,-3.694988965988159,Ru_Rh
706,-4.091895580291748,Ru_Rh
707,-3.70957088470459,Ru_Rh
708,-2.855482339859009,Ru_Rh
709,-3.3467421531677246,Ru_Rh
710,-3.255366802215576,Ru_Rh
711,-3.3909246921539307,Ru_Rh
712,-3.490476608276367,Ru_Rh
713,-3.7268600463867188,Ru_Rh
